Código;Produto;Valor Unitário
16008631;CABO REPETIDOR IR;0
16008632;CABO EMISSOR IR;0
16008889;ORGANIZADOR DE CABOS 1U;42,5
16008890;"SUPORTE ADAPTADOR SSD 2.5"" PARA 3.5""";0
16008891;ADAPTADOR HDMI F X F;0
16008892;PATCH PANEL CAT5 24 PORTAS;0
16008893;PATCH PANEL CAT5 48 PORTAS;0
16008894;PATCH PANEL CAT6 24 PORTAS;0
16008895;PATCH PANEL CAT6 48 PORTAS;0
16008896;FONTE CARREGADOR DOCK STATION;0
16008898;FONTE CARREGADOR DOCK STATION;0
16008901;FONTE CARREGADOR LAPTOP;0
16008928;HD SSD 1TB;0
16008977;LINE CORD FIBRA OTICA 2M;0
16008978;PATCH CORD CAT 5E 1.5M;0
16008979;FONTE CARREGADOR LAPTOP 45W;0
16008980;FONTE CARREGADOR LAPTOP 65W;0
16008981;FONTE CARREGADOR LAPTOP 90W;0
16008982;FONTE CARREGADOR LAPTOP 130W;0
16008983;SIMCARD;0
16009570;CABO DVI;0
16009571;HD EXTERNO;0
16009577;FILTRO DE LINHA 10A;53,7
16009615;HEADSET PC / USB;348,8
16009759;"TV LCD/LED 32""";1792,33
16009760;TV LCD/LED 32 POL.;2290
16009767;PROJETOR;0
16009768;LAMPADA PROJETOR 5J.JGP05.001;0
16010079;CONTROLE UNIVERSAL PARA TV;0
16010227;HEADSET PC / USB;0
16010341;CARTUCHO DE TONER RESIDUAL XEROX WC 6515;0
16010342;FUSOR XEROX WC 6515;2560
16010687;UNIDADE DE IMAGEM XEROX C7020 113R00780;2317
16010688;UNIDADE DE IMAGEM PRETA WC 6515;0
16010689;UNIDADE DE IMAGEM AMARELA WC 6515;1382,5
16010690;UNIDADE DE IMAGEM CIANO WC 6515;2
16010691;UNIDADE DE IMAGEM MAGENTA WC 6515;1382,5
16010874;ADAPTADOR USB-C PARA ETHERNET;0
16010875;ADAPTADOR USB 3 PARA ETHERNET;0
16010876;CONVERSOR DE MIDIAIND. BLACK BOX POE+;1533,03
16010877;BLACK BOX SFP 1250MBPS 850 NM MM FO;284,66
16010878;CONVERSOR DE MIDIA BLACK BOX;230,39
