Código;Produto;Valor Unitário
16028895;RELE P/POS POS EMERSON PRO/38B5786X032;7084,54
16028896;CONVERSOR CJ P/POS 38B6041X132;9186,18
16029139;CRUZETA TUB INOX 3/4POL SWAGELOK/SS12104;1716,82
16029176;VALVULA REG PR NPS3/4MR95H+1E399027142;0
16029177;VALVULA CONTR FISHER/NPS6ET1008SIZE50;85673,65
16029219;INDICADOR LGGCBM0104005000000550SRNZBZ;12300
16029220;INDICADOR LGGCBM0095005000000550SRNZBZL;12200
16029250;MOLA P/ATUAD ATUAD HITER/005XA439001P;570,24
16029251;VEDACAO CJ P/VALV VALV HITER/SOBDC009;417,04
16029252;VEDACAO CJ P/ATUAD HITER/SOBDC006;321,35
16029253;DIAFRAGMA P/ATUAD CR HITER/023XF009089X;2007
16029254;MOLA P/ATUAD ATUAD HITER/005XA445001P;195,67
16029255;MOLA P/ATUAD ATUAD HITER/005XB435278P;102,94
16029282;DRENO AUTO CONDENS AL 25BAR GHPC/D50004;195,78
16029313;VALVULA WABCO/9753030750;4762
16029353;BOMBA P/TEST HIDROST ROTHENBERGER/RP50;2850,34
16029366;TRANSMISSOR NIV HIDROST 51,1BARG;94195,94
16029383;CONECTOR P/TERMOPAR AM ALUTAL/MCTMFKA;0
16029391;CONECTOR P/TERMOPAR AM ALUTAL/MCHMFKA;0
16029392;CONECTOR P/TERMORESIST NY ALUTAL/CPRMFPA;0
16029393;CILINDRO P/GAS 112L, 5% VOL CH4 EM N2 LE;2141,39
16029396;RELE AUX 24VCC 8A FINDER/465290240040;0
16029397;MODULO SINAL/PROT FINDER/9902902499;0
16029398;CABO COM RED PVC ROCKWELL/1585JM8CBJM0M5;246,29
16029406;BASE RELE 4652 SOQ TRILH DIN FINDER/9702;0
16029431;SOQUETE 1POL AC CR VAN S/ISOL S/ACESS;0
16029436;VEDACAO CJ P/VALV VALV HITER/KV82311THAX;2365,97
16029437;OBTURADOR CJ P/VALV HITER/4ZA0181AB025X;2571,62
16029438;RETENTOR CJ P/VALV HITER/017XC005IEJ025X;2929,45
16029439;ATUADOR P/VALV VALV HITER/DC009DAKZN1;0
16029440;VEDACAO CJ P/VALV VALV HITER/KV81211GHAM;1523,52
16029442;OBTURADOR CJ P/VALV HITER/4MM011I1F2025F;5937,79
16029443;GAIOLA P/VALV VALV HITER/850631383145;2762,09
16029444;PRESSOSTATO BITZER/CCAPR040001;2180,26
16029445;DESENCAPADOR P/CAB ELETR GEDORE/8147;1677,77
16029446;FACA P/DESENCAP FIO/CAB 170MM AC UNID;315,2
16029447;DIAFRAGMA P/VALV VALV HITER/023XF007089X;972,67
16029452;INDICADOR NIV 0/1300MM WIKA/58518017;17200
16029455;VALVULA CONTR NPS3ET667SIZE40IDVC6200;58695,75
16029470;VEDACAO CJ P/VALV VALV HITER/KV81311THAN;2528,48
16029471;GAIOLA P/VALV VALV HITER/063XA041043X;1793,4
16029472;ATUADOR P/VALV VALV HITER/DC009IJKZN1;0
16029473;VEDACAO CJ P/VALV VALV HITER/KV82111GHAX;1660,75
16029474;OBTURADOR CJ P/VALV HITER/4XC155I1AB029F;4987,63
16029475;RETENTOR CJ P/VALV HITER/017XC002IEH025X;4763,41
16029476;ATUADOR P/VALV VALV HITER/DC006DAFZN1;0
16029486;ATUADOR P/VALV VALV HITER/DC009IJHZN1;0
16029487;VEDACAO CJ P/VALV VALV HITER/KV81211GHAL;2949,03
16029488;OBTURADOR CJ P/VALV HITER/4MM011I1FB025X;2159,88
16029489;GAIOLA P/VALV VALV HITER/063XA037523X;1401,59
16029490;OBTURADOR CJ P/VALV HITER/4MM027I1FB025X;2004,6
16029501;BLOCO CONECT MOD 13BORN PHOENIX/1019547;0
16029502;BLOCO CONECT MOD 19BORN PHOENIX/3273768;0
16029503;BLOCO CONECT MOD 7BORN PHOENIX/1130757;0
16029504;POSTE FIN P/TRILH CZ ENC PHOENIX/3274056;0
16029506;BOROSCOPIO PORT FLIR SYSTEMS/VS701W;21320,7
16029510;PROGRAMADOR HOR ELETR 7 DIAS COEL/BWT40;0
16029556;BORNE TERMIN PA 1 CAB PHOENIX/3044640;85,1
16029763;VALVULA GLOB PV122322ANPS11/224000CVF;0
16029764;VALVULA GLOB 1NPS 122DO23070300536841NPS;0
16029862;PLACA ORIF CONC HIRSA/HRSFDPCP2001/23;2155
16029863;PLACA ORIF CONC HIRSA/HRSFDPCP1/3001/23;3120
16030041;PRESSOSTATO DANFOSS/KP5;588,14
16030042;PRESSOSTATO 6A18BAR 1/4BSP DANFOSS/KPS37;1626,32
16030043;PRESSOSTATO 4A40BAR 0,1A DANFOSS/CAS145;2088,32
16030164;PRESSOSTATO 1A10BAR DANFOSS/060316066;3244,7
16030269;VALVULA ALIV EMERSON PRO/M98H30483277085;0
16030308;SENSOR ODS/SENSORPMEDIDORVAZAOHTM10;6284,65
16030322;VALVULA ANTIRRET BZ BUCKA/4900735001;5990
16030323;VALVULA ANTIRRET BZ BUCKA/4900735008;6460
16030473;CAIXA P/TRANSM EMERSON PRO/9150068871;0
16030574;DETECTOR CHAM DET TRONICS/X3301S4N23SB2;54150,14
16030633;MODULO P/DETEC CAB DET TRONICS/027754001;30566,55
16030636;VALVULA PNEUM DIREC 1/8BSP FESTO/2188;1158,41
16030637;VALVULA PNEUM DIREC PILOT SMC/VPA342102A;1181,91
16030822;DETECTOR ALARMES TUCANO/SIDCAPEX19490GRC;5383,9
16030832;REDE TECNAIR/T89315018;0
16030835;VISOR TECNAIR/31072874;0
16030840;SONDA TECNAIR/30177232;0
16030841;CARTAO TECNAIR/30216862;0
16030842;UNIDADE TECNAIR/30216865;0
16030846;SONDA TECNAIR/T89225013;0
16030847;ALARME TECNAIR/T89225149;0
16030931;CONDENS ACC TMC55 (EC)V TECNAIR/10161963;0
16031309;MEDIDOR NIVEL APPROTECH/STG1IL;0
16031377;ANALISADOR PR VAP AMETEK/MINIVAPVPVISION;0
16032653;FITA CJ P/AMOSTR 25M HONEYWELL/TS10229;0
16032654;ANEL O P/AMOSTR AMOSTR HONEYWELL/TS12101;0
16032655;ANEL O P/AMOSTR AMOSTR HONEYWELL/TS20513;0
16032656;ROLAMENTO P/AMOSTR SUP HONEYWELL/TS12084;0
16032657;CAPA P/AMOSTR AMOSTR HONEYWELL/TS11215;0
16032665;SUPORTE P/AMOSTR HONEYWELL/TS12095;0
16032666;LIMPADOR P/AMOSTR HONEYWELL/TS12097;0
16032667;CONJUNTO P/AMOSTR HONEYWELL/TS10210;0
16032668;BLOCO P/AMOSTR AMOSTR HONEYWELL/TS11226;0
16032669;INDICADOR P/AMOSTR HONEYWELL/TS11221;0
16032670;VALVULA P/AMOSTR HONEYWELL/TS10415;0
16032804;DETECTOR MULTIGAS MAN NAKAYAMA/GX8000;0
16032843;VEDACAO P/AMOSTR PTFE HONEYWELL/TS22631;0
16032844;GLANDULA P/AMOSTR INOX HONEYWELL/TS22632;0
16032845;ASSENTO P/AMOSTR PTFE HONEYWELL/TS22630;0
16032846;JUNTA P/AMOSTR AMOSTR HONEYWELL/TS22640;0
16032847;JUNTA P/AMOSTR AMOSTR HONEYWELL/TS22641;0
16032885;SIRENE HANLA IMS/DESHL102841;0
16032895;VALVULA ESF VEM1000WOGPP1/2NPTACOCARBO;153
16033182;VALVULA ESF 1/2NPT BIFOLD/3781306;2548
16033218;TRANSMISSOR PR -14,7A4000PSI EMERSON PRO;0
16033413;INDICADOR DIG TEMP UNIV YOKOGAWA/UM33APT;0
16033417;MEDIDOR ANALOG PR OLEO MURPHY/2410CATC9;0
16033426;MANOMETRO CIRC 0A160PSI INF WIKA/9833565;1231,59
16033427;MANOMETRO CIRC 0-300PSI INF WIKA/9833549;1231,59
16033428;MANOMETRO CIRC 0A1000PSI WIKA/9833515;2689,41
16033429;MANOMETRO CIRC 0A3000PSI WIKA/9833485;2689,41
16033574;PISTAO AUTOCONTROL/ATC12200800;0
16033575;FLANGE AUTOCONTROL/ATC112100;0
16033576;AMORTECEDOR AUTOCONTROL/ATC112400;0
16033577;AMORTECEDOR AUTOCONTROL/ATC112500;0
16033578;VALVULA AUTOCONTROL/ATC114800;0
16033579;RASPADOR AUTOCONTROL/ATC1153R00;0
16033580;RASPADOR AUTOCONTROL/ATC1154R00;0
16033581;SELO AUTOCONTROL/ATC1156R00;0
16033582;BLOQUEIO CJ AUTOCONTROL/ATC116200;0
16033583;SELO AUTOCONTROL/ATC1167R00;0
16033584;ANEL O AUTOCONTROL/ATC1383R00;0
16033585;SELO AUTOCONTROL/ATC1384R00;0
16033604;REG AIR RELIEVING PANEL MOUNT 0-125PSI;0
16033605;GAUGE DIRECT READING DUAL FACE 4 1/4;0
16033606;GAUGE RECEIVER DUAL FACE 4 1/4 0-10,000;0
16033607;GAUGE RECEIVER DUAL FACE 4 1/4 0-6000PSI;0
16033608;GAUGE RECEIVER DUAL FACE 4 1/4 0-3000PSI;0
16033615;ELECTRIC PRESSURE SWITCH 0-5000 PSI MOCS;0
16033617;PNEUMATIC PRESSURE SWITCH 3000 PSI MOCS;0
16033618;MANUAL MANIFOLD REG INLET 3/4 3000PSI;0
16033619;AIR MOTOR ANNULAR REGU INLET 3/4 3000PSI;0
16033620;SELECTOR CONTROL VALVE 1 3000PSI;0
16033622;ACCUMULATOR GAUGE 4 6000PSI MOCS;0
16033623;ANNULAR MANIFOLD GAUGE 4 3000PSI MOCS;0
16033638;VALVULA CUMMINS/SVX594;60067,77
16033676;MANGUEIRA CJ MACGREGOR/177934;0
16033687;VALVULA NAKAKITA/CA35560;0
16033724;MANOMETRO NAKAKITA/DESADGSMH01721POS10;0
16033725;ANEL O P/VALV DESCSD2235635001BPOS115;0
16033814;MEDIDOR IP67 OPTISONIC6300FEEXFIT1251900;0
16033985;VALVULA ESF 1/4NPT PARKER/343F4A4A;1853,04
16034154;CABO P/TRANSD EXT 4,50M 33013004502BR;0
16034295;CELULA CARG CJ SUPERIOR HYDRA/SM2029C;0
16034296;CHAVE FLUX 40KGF/CM2 1NPT SALCAS/KFL2000;453,24
16034362;CELULA CARG CJ SUPERIOR HYDRA/SM2528C;0
ELE-COM-000003;CABLE GLAND,ADE4F,M20,NICKEL PLATED;0
INS-AUT-000001;MODULE COMBINATION GENERATOR CONTROL;0
INS-AUT-000002;CABLE PRE-WIRED F/1756-OF8 OR OFH, 1 M;0
INS-AUT-000003;CABLE PRE-WIRED F/1756-IF8, 2.5 M;0
INS-AUT-000004;CABLE PRE-WIRED F/1756-IF16, (V) 2.5 M;0
INS-AUT-000005;CABLE PRE-WIRED F/1756-IF16, 2.5 M;0
INS-AUT-000006;CABLE PRE-WIRED F/1756-IF16 OR IF8H;0
INS-AUT-000007;CABLE PRE-WIRED F/1756-OF4, 2.5 M;0
INS-AUT-000008;CABLE PRE-WIRED F/1756-OF8 OR OFH, 2,5 M;0
INS-AUT-000009;CABLE PRE-WIRED F/1756-IF16, (V) 5M;0
INS-AUT-000010;CABLE PRE-WIRED F/1756-IF16 (CURRENT) 5M;0
INS-AUT-000011;CABLE PRE-WIRED FOR 1756-OF8/OF8H, 5 M;0
INS-AUT-000012;CABLE PRE-WIRED F/1756-IR6I RTD, 5 M;0
INS-AUT-000013;MODULE INTERFACE ANALOG 16 CHANNELS;0
INS-AUT-000014;ANALOG IFM, 24VDC BLOWN FUSE, 16-CHANNEL;0
INS-AUT-000015;ANALOG IFM FEED-THROUGH ISOLATED 6 CHAN.;0
INS-AUT-000016;ANALOG IFM FEED-THROUGH 8 CHANNEL;0
INS-AUT-000017;FUSIBLE 8 CHANNEL ANALOG IFM, 24V;0
INS-AUT-000018;CABLE PRE-WIRED F/1769-IQ32, 2.5 M;0
INS-AUT-000019;CABLE PRE-WIRED F/1769-OB32, 2.5 M;0
INS-AUT-000020;CABLE PRE-WIRED F/1756 32-PT I/O, 1 M;0
INS-AUT-000021;CABLE DIGITAL I/O MODULE 1756-TBCH, 2.5M;0
INS-AUT-000022;CABLE PRE-WIRED F/STD 1756 16-PT I/O MOD;0
INS-AUT-000023;CABLE PRE-WIRED F/ISOLATED 1756, 2.5 M;0
INS-AUT-000024;CABLE PRE-WIRED F/1756 32-PT I/O, 2.5 M;0
INS-AUT-000025;CABLE PRE-WIRED F/ISOLATED 1756, 5 M;0
INS-AUT-000026;CABLE PREWIRED FOR 1756 32-PTS I/O, 5 M;0
INS-AUT-000027;DIGITAL IFM 24V LED 40-POINT F/OUTPUT;0
INS-AUT-000028;DIGITAL IFM 24V LED 40-POINT F/INPUT;0
INS-AUT-000029;DIGITAL IFM 24/48V LED 40-POINT F/OUTPUT;0
INS-AUT-000030;DIGITAL IFM 24/48V LED 40-POINT F/INPUT;0
INS-AUT-000031;DIGITAL IFM FEED-THROUGH 40-POINT;0
INS-AUT-000032;DIGITAL IFM 5X20MM FUSE CLIPS 40-POINT;0
INS-AUT-000033;FUSED TERM. F/SIL2 SAFETY, 2 1756-IF16;0
INS-AUT-000034;TERMINATION MOD. F/SIL2 SAFETY SHUTDOWN;0
INS-AUT-000035;FUSED TERM. F/SIL2 SAFETY, 2 1756-IB32;0
INS-AUT-000036;RELAY MASTER IFM, 20-PIN 16 RELAYS W/FSG;0
INS-AUT-000037;RELAY MASTER IFM, 20-PIN 8 RELAYS;0
INS-AUT-000038;RELAY EXPANDER MODULE, 24V DC, 16 RELAYS;0
INS-AUT-000039;RELAY EXPANDER MODULE, 24V DC, 8 RELAYS;0
INS-AUT-000040;RELAY MASTER IFM, 40-PIN 16 RELAYS;0
INS-AUT-000041;RELAY MASTER IFM, 40-PIN 16 RELAYS W/FSG;0
INS-AUT-000042;RELAY HIGTH DENSITY IFM 40-PIN,32 RELAY;0
INS-AUT-000043;CONTROLLER SOLID STATE, 480 A, SMC-FLEX;0
INS-AUT-000044;CONTROLLER SOLID STATE, 780 A, SMC-FLEX;0
INS-AUT-000045;PROTECTIVE MOD, 480V, 108..1250A CURRENT;0
INS-AUT-000046;CABLE ETHERNET 4 CONDUCTORS, 2 M, ROB.;0
INS-AUT-000047;CABLE ETHERNET 8 CONDUCTORS, 1 M, PVC;990
INS-AUT-000048;CABLE ETHERNET 8 CONDUCTORS, 10 M, PVC;258,66
INS-AUT-000049;CABLE ETHERNET 8 CONDUCTORS, 2 M, PVC;0
INS-AUT-000050;CABLE ETHERNET 8 CONDUCTORS, 5 M, PVC;380,92
INS-AUT-000051;CABLE ETHERNET 8 CONDUCTORS, 50 M, PVC;5964
INS-AUT-000052;CABLE ETHERNET 8 CONDUCTORS, 2 M, ROB.;0
INS-AUT-000053;POWER SUPPLY, COMPACT, 48-56V DC, 100 W;0
INS-AUT-000054;POWER SUPPLY, COMPACT, 24-28V DC, 15 W;0
INS-AUT-000055;POWER SUPPLY, COMPACT, 24-28V DC, 30 W;0
INS-AUT-000056;POWER SUPPLY, COMPACT, 24-28V DC, 50 W;0
INS-AUT-000057;MODULE DUAL REDUNDANCY VIN 1 -.5VIN 720W;0
INS-AUT-000058;POWER SUP, 24-48V DC, 120 W, 110-300V DC;0
INS-AUT-000059;POWER SUP, 24-48V DC, 240 W, 100-150V DC;0
INS-AUT-000060;POWER SUP, 24-48V DC, 240 W, 110-300V DC;0
INS-AUT-000061;POWER SUP, 48-56V DC, 240 W, 120/240V AC;0
INS-AUT-000062;POWER SUP, 24-48V DC, 480 W, 110-300V DC;0
INS-AUT-000063;MODULE REDUNDANCY VIN 1 -.9VIN, 480 W;0
INS-AUT-000064;ADAPTER 24V DC CONTROLNET;0
INS-AUT-000065;ADAPTER MODULE ETHERNET 1-PORT I/O;0
INS-AUT-000066;MODULE 24V DC, POWER/BUS EXTENSION;0
INS-AUT-000067;MODULE INPUT 24V DC, 4 CHANNELS SHINK;0
INS-AUT-000068;MODULE INPUT 24V DC, 8 CHANNELS SHINK;0
INS-AUT-000069;MODULE ANALOG INPUT 24V DC, 2 CHANNELS;0
INS-AUT-000070;MODULE HD ANALOG INPUT 24V DC, 8 CHANNEL;0
INS-AUT-000071;MODULE ANALOG INPUT 24V DC 2 CHANNEL RTD;0
INS-AUT-000072;MODULE DIGITAL OUTPUT 24V DC 8 CHANNELS;0
INS-AUT-000073;MODULE ANALOG OUTPUT 24V DC, 2 CHANNELS;0
INS-AUT-000074;MODULE ANALOG OUTPUT 24V DC, 4 CHANNELS;0
INS-AUT-000075;MODULE RELAY OUTPUT 24V DC 2PT NO SPST;0
INS-AUT-000076;TERMINAL BLOCK, 12 TERMINALS, SCREW, I/O;0
INS-AUT-000077;TERMINAL BLOCK, 12 TERMINALS, SCREW, I/O;0
INS-AUT-000078;MODULE BASE W/ REMOVABLE IEC SCREW;0
INS-AUT-000079;SCREW TERMINAL BASES 12-POSITION IP20;0
INS-AUT-000080;10 SLOT CONTROLLOGIX CHASSIS;0
INS-AUT-000081;13 SLOT CONTROLLOGIX CHASSIS;0
INS-AUT-000082;17 SLOT CONTROLLOGIX CHASSIS;0
INS-AUT-000083;4 SLOT CONTROLLOGIX CHASSIS.;0
INS-AUT-000084;7 SLOT CONTROLLOGIX CHASSIS;0
INS-AUT-000085;CHASSIS CONTROLLOGIX 7 SLOT, LOGIX XT,;0
INS-AUT-000086;CONFIGURABLE FLOWMETER 2 CHANNEL/2 OUT;0
INS-AUT-000087;THERMISTORS CJC (QTY 2);0
INS-AUT-000088;CONTROLLOGIX CONTROLNET REDUNDANT BRIDGE;0
INS-AUT-000089;CONTROLNET REDUNDANT INTERFACE LOGIX XT;0
INS-AUT-000090;CONTROLNET BRIDGE MODULE 40-48 CONNEC.;0
INS-AUT-000091;CABLE FOR REDUNDANT POWER SUPPLY;0
INS-AUT-000092;CONTROLLOGIX DH+/RIO BRIDGE/SCANNER MOD;0
INS-AUT-000093;CONTROLLOGIX ETH.NET/IP, 1 PORT,128 CONN;0
INS-AUT-000094;CONTROLLOGIX ETH.NET/IP,2 PORTS,128 CONN;0
INS-AUT-000095;ETHERNET 10-100M INTERFACE MOD. LOGIX XT;0
INS-AUT-000096;CONTROLLOGIX ETHERNET/IP MODULE, 64 CONN;10151,07
INS-AUT-000097;FACTORYTALK HISTORIAN MACHINE EDIT. 2GB;0
INS-AUT-000098;COUNTER HIGH SPEED 2 CHANNEL / 4 OUTPUT;0
INS-AUT-000099;MODULE INPUT 79-132V AC 16 PTS (20 PIN);0
INS-AUT-000100;INDIVIDUALLY ISOLATED INPUT 10-30V DC;0
INS-AUT-000101;CONTROLLOGIX INPUT MOD. 10-31VDC, 32 PTS;0
INS-AUT-000102;CONTROLLOGIX 16 CUR/VOLTAGE ANALOG.INPUT;12231,29
INS-AUT-000103;CONTROLLOGIX CURRNT ANA.INPUT 16PTS HART;0
INS-AUT-000104;FAST ANALOG 4 CUR-VOLT IN/2 CUR-VOLT OUT;0
INS-AUT-000105;CONTROLLOGIX ANAL.INPUT CURR/VOLT 8 PTS;0
INS-AUT-000106;CONTROLLOGIX ANA.DIFF.INPUT W/HART 8PTS;0
INS-AUT-000107;CONTROLLOGIX 8-CH INP.RTD/OHMS/THERMO/MV;0
INS-AUT-000108;CONTROLLOGIX LOGIX5571 PROCESSOR 2 MB;0
INS-AUT-000109;CONTROLLER CONTROLLOGIX 5570 WITH 4 MB;0
INS-AUT-000110;CONTROLLOGIX LOGIX5673 PROCESSOR 8 MB;51513,64
INS-AUT-000111;GUARDLOGIX PROCESS.8MB STANDARD/4MB;0
INS-AUT-000112;CONTROLLER CONTROLLOGIX 5673 8MB MEMORY;0
INS-AUT-000113;CONTROLLER CONTROLLOGIX 5574 16MB MEMORY;0
INS-AUT-000114;CONTROLLER GUARDLOGIX SAFETY PARTNER;0
INS-AUT-000115;SLOT FILLER MOD F/STD CONTROLLOGIX;0
INS-AUT-000116;MODULE OUTPUT 74-265V AC 16 PTS (20 PIN);0
INS-AUT-000117;CONTROLLOGIX 19-30VDC DIAG.OUTPUT 16 PTS;0
INS-AUT-000118;CONTROLLOGIX 10-31VDC 16-CH FUSED OUTPUT;0
INS-AUT-000119;CONTROLLOGIX 10-30 VDC ISOL.OUTPUT 16PTS;0
INS-AUT-000120;CONTROLLOGIX 10-31VDC OUTPUT MOD. 32 PTS;0
INS-AUT-000121;ANALOG OUTPUT - CURRENT/VOLTAGE 4 PTS;0
INS-AUT-000122;CONTROLLOGIX 8 CUR/VOLTAGE ANALOG.OUTPUT;15707,95
INS-AUT-000123;CONTROLLOGIX ISOL.RELAY OUTPUT MOD.16PTS;0
INS-AUT-000124;CONTROLLOGIX POWER SUPPLY 85-265VAC/5V;6672,99
INS-AUT-000125;CONTROLLOGIX POWER SUPPLY 85-265VAC/5V;0
INS-AUT-000126;POWER SUPPLY REDUNDANT 85-265V DC;0
INS-AUT-000127;POWER SUPPLY, 19-32V DC (10 AMP @ 5V);0
INS-AUT-000128;CONTROLLOGIX POWER SUPPLY 18-32 VDC/ 5V;0
INS-AUT-000129;POWER SUPPLY REDUNDANT 19-32V DC;0
INS-AUT-000130;POWER SUPPLY, 19.2-32V DC (5V @ 13 AMP);0
INS-AUT-000131;CHASSIS ADAPTER F/REDUNDANT POWER SUPPLY;0
INS-AUT-000132;CONTROLLOGIX REDUNDANCY MODULE 1000 MBPS;0
INS-AUT-000133;CABLE, FIBER, 1 METER;0
INS-AUT-000134;CABLE, FIBER, 3 METER;0
INS-AUT-000135;CONTROLLOGIX 36 PIN CAGE-CLAMP TERMINAL;0
INS-AUT-000136;CABLE 9-PIN PORT OF 1761-NET-AIC TO;0
INS-AUT-000137;MODULE RTD RESISTANCE 4 CHANNEL;0
INS-AUT-000138;MODULE MEMORY FOR MICROLOGIX 1400;0
INS-AUT-000139;CONTROLNET BRIDGE MODULE,1 BNC CONNECTOR;0
INS-AUT-000140;COMPACTLOGIX ETHERNET/IP BRIDGE MODULE;0
INS-AUT-000141;PROCESSOR COMPACTLOGIX L45, 3.0MBYTE;0
INS-AUT-000142;COMPACTLOGIX POWER SUPPLY 24V DC, 3.5A;0
INS-AUT-000143;TERMINATOR RIGHT END CAP, 0°C TO 60°C;3911,87
INS-AUT-000144;COMPACTLOGIX SYSTEM MODULE 16 CHANNEL;8588,58
INS-AUT-000145;MODULE INPUT ANALOG C/V INPUT 8 CHANNEL;0
INS-AUT-000146;MODULE INPUT SINKING/SOURCING 16 POINT;0
INS-AUT-000147;MODULE INPUT, 32 POINT 24V DC;8271,2
INS-AUT-000148;THERMOCOUPLE/MV INPUT MODULE 6 CHANNEL;0
INS-AUT-000149;CONTROLLER COMPACTLOGIX 5370 L1;0
INS-AUT-000150;MODULE OUTPUT, 32 POINT 24V DC;29675,24
INS-AUT-000151;MODULE OUTPUT, 8 POINT HIGH POWER 24V DC;0
INS-AUT-000152;MODULE OUTPUT ANALOG C/V INPUT 2 CHANNEL;0
INS-AUT-000153;POWER SUP, 120/240V AC INPUT 5V DC AT 4A;0
INS-AUT-000154;POWER SUP, 24V DC IN 4A@5V DC 2A@24V DC;0
INS-AUT-000155;STRATIX 5700 SWITCH, MANAGED, 8 PORTS;0
INS-AUT-000156;STRATIX 5700 SWITCH, MANAGED, 16 PORTS;0
INS-AUT-000157;STRATIX 6000 SWITCH, ENTRY-LEVEL MANAGED;0
INS-AUT-000158;ETHERNET/IP TAP3 COPPER PORTS;0
INS-AUT-000159;ETHERNET/IP TAP2 COPPER PORTS, 1 FIBER;0
INS-AUT-000160;ETHERNET/IP TAP1 COPPER PORT, 2 FIBER;4707,46
INS-AUT-000161;STRATIX 8000 SPARE COMPACT FLASH CARD;0
INS-AUT-000162;STRATIX 8000 SWITCH, MANAGED, 6-PORT;0
INS-AUT-000163;STRATIX 8000 SWITCH, MANAGED, 10-PORT;0
INS-AUT-000164;STRATIX 8000 EXP. MOD. 4-POE 10/100PORTS;0
INS-AUT-000165;STRATIX 8000 EXP. MOD. 4 COPPER/4 POE;0
INS-AUT-000166;STRATIX 8000 FIBER EXPANSION MODULE,;0
INS-AUT-000167;STRATIX 8000 SFP EXPANSION MODULE 8-PORT;0
INS-AUT-000168;STRATIX 8000 COPPER EXPANSION MODULE,;0
INS-AUT-000169;STRATIX 8300 SPARE COMPACT FLASH CARD;0
INS-AUT-000170;STRATIX 8300 SWITCH, 6-PORT BASE,;0
INS-AUT-000171;STRATIX 8300 SWITCH, MANAGED, 10-PORTS;0
INS-AUT-000172;STRATIX FIBER SFP, 100 MBIT MULTI-MODE;0
INS-AUT-000173;STRATIX FIBER SFP, 100 MBIT SINGLE-MODE;0
INS-AUT-000174;STRATIX FIBER SFP, 1000 MBIT SINGLE-MODE;0
INS-AUT-000175;STRATIX FIBER SFP, 1000 MBIT MULTI-MODE;0
INS-AUT-000176;STRATIX 5900 ROUTER, 5 COPPER PORTS;0
INS-AUT-000177;STRATIX 2000 SWITCH, UNMANAGED, 8 PORTS;0
INS-AUT-000178;SECURE DIGITAL (SD) CARD 1 GB;0
INS-AUT-000179;CONTROLNET BNC, PLUG;0
INS-AUT-000180;CONTROLNET NETWORK TOOLKIT;0
INS-AUT-000181;CABLE COAXIAL QUAD-SHIELD RG-6 1000' BX;0
INS-AUT-000182;CONTROLNET REPEATER ADAPTER MODULE;0
INS-AUT-000183;CONTROLNET MEDIUM-DISTANCE FIBER MODULE;0
INS-AUT-000184;LONG-DISTANCE FIBER RING REPEATER MODULE;0
INS-AUT-000185;EXTRA-LONG-DISTANCE FIBER RING REPEATER;0
INS-AUT-000186;CONTROLNET RIGHT-ANGLE T-TAP;0
INS-AUT-000187;CONTROLNET STRAIGHT T-TAP;0
INS-AUT-000188;CONTROLNET RIGHT-ANGLE Y-TAP;0
INS-AUT-000189;CONTROLNET NETWORK TERMINATOR;0
INS-AUT-000190;ADAPTER ETHERNET/IP 10/100 MBIT FLEX I/O;0
INS-AUT-000191;FLEX I/O ETHERNET/IP REDUNDANT ADAPTER;0
INS-AUT-000192;CABLE EXTENDER FLEX I/O 1 FT (0.3 M);0
INS-AUT-000193;FLEX I/O EXTENDER CABLE 3 FT (0.9 M);0
INS-AUT-000194;FLEX I/O COMBIN.MOD. 24VDC,10 INP,6 OUT;0
INS-AUT-000195;MODULE COMBINATION, FLEX I/O-XT, 10 IN;0
INS-AUT-000196;FLEX I/O INPUT MODULE,24V DC 16 SINK INP;0
INS-AUT-000197;MODULE INPUT, FLEX I/O-XT, 24V DC,;0
INS-AUT-000198;FLEX I/O INPUT MODULE,24V DC 32 SINK INP;0
INS-AUT-000199;MODULE INPUT ANALOG, 12 SINGLE-ENDED;0
INS-AUT-000200;FLEX I/O ANALOG INPUT MODULE, 8 INPUTS;0
INS-AUT-000201;MODULE INPUT HART ANALOG, 8 SINGLE-ENDED;0
INS-AUT-000202;MODULE INPUT ANALOG FLEX I/O-XT,8 SINGLE;0
INS-AUT-000203;FLEX I/O ANALOG MOD. 2-IN/2-OUT ISOLATED;0
INS-AUT-000204;MODULE ANALOG COMBINATION, FLEX I/O-XT;0
INS-AUT-000205;FLEX I/O ANALOG INPUT MOD.4 ISOLATED INP;0
INS-AUT-000206;MODULE INPUT, FLEX I/O-XT, 16 BIT,;0
INS-AUT-000207;FLEX I/O INPUT MOD.2-CH HIGH RESOL.FREQ;0
INS-AUT-000208;MODULE INPUT, FLEX I/O-XT, 2 CHANNEL HR;0
INS-AUT-000209;MODULE INPUT 8 POINTS RTD;0
INS-AUT-000210;FLEX I/O THERMOCOUPLE/RTD MODULE,8 INPUT;0
INS-AUT-000211;MODULE INPUT, FLEX I/O-XT, THERMO/RTD;0
INS-AUT-000212;FLEX I/O OUTPUT MODULE, 24VDC,16 OUT;0
INS-AUT-000213;MODULE OUTPUT, FLEX I/O-XT, 16 OUTPUTS;0
INS-AUT-000214;MODULE OUTPUT, 24V DC, 32 SOURCE OUTPUTS;0
INS-AUT-000215;MODULE OUTPUT, 24V DC, 8 SOURCE OUTPUTS;0
